OK everything is done now!
-------------------------------------------
Training time: 0.0 hour 10.0 min 20 sec 454 msec
Best Policy:
     PkgProb  TruckPkgQuantiles  WarehousePkgQuantiles  NumVisits   Policy
181     0.15                  0                      1          0        ?
182     0.15                  0                      2          0        ?
183     0.15                  0                      3          0        ?
184     0.15                  0                      4          0        ?
185     0.15                  0                      5          0        ?
186     0.15                  1                      0        121     Wait
187     0.15                  1                      1          0        ?
188     0.15                  1                      2          0        ?
189     0.15                  1                      3          0        ?
190     0.15                  1                      4          0        ?
191     0.15                  1                      5          0        ?
192     0.15                  2                      0          0        ?
193     0.15                  2                      1          0        ?
194     0.15                  2                      2          0        ?
195     0.15                  2                      3          0        ?
196     0.15                  2                      4          0        ?
197     0.15                  2                      5          0        ?
198     0.15                  3                      0          0        ?
199     0.15                  3                      1          0        ?
200     0.15                  3                      2          0        ?
201     0.15                  3                      3          0        ?
202     0.15                  3                      4          0        ?
203     0.15                  3                      5          0        ?
204     0.15                  4                      0          0        ?
205     0.15                  4                      1          0        ?
206     0.15                  4                      2          0        ?
207     0.15                  4                      3          0        ?
208     0.15                  4                      4          0        ?
209     0.15                  4                      5          0        ?
210     0.15                  5                      0          0        ?
211     0.15                  5                      1          0        ?
212     0.15                  5                      2          0        ?
213     0.15                  5                      3          0        ?
214     0.15                  5                      4          0        ?
215     0.15                  5                      5          0        ?
216     0.17                  0                      0          0        ?
217     0.17                  0                      1          0        ?
218     0.17                  0                      2          0        ?
219     0.17                  0                      3          0        ?
220     0.17                  0                      4          0        ?
221     0.17                  0                      5          0        ?
222     0.17                  1                      0         58  Deliver
223     0.17                  1                      1          0        ?
224     0.17                  1                      2          0        ?
225     0.17                  1                      3          0        ?
226     0.17                  1                      4          0        ?
227     0.17                  1                      5          0        ?
228     0.17                  2                      0          0        ?
229     0.17                  2                      1          0        ?
230     0.17                  2                      2          0        ?
231     0.17                  2                      3          0        ?
232     0.17                  2                      4          0        ?
233     0.17                  2                      5          0        ?
234     0.17                  3                      0          0        ?
235     0.17                  3                      1          0        ?
236     0.17                  3                      2          0        ?
237     0.17                  3                      3          0        ?
238     0.17                  3                      4          0        ?
239     0.17                  3                      5          0        ?
240     0.17                  4                      0          0        ?
241     0.17                  4                      1          0        ?
242     0.17                  4                      2          0        ?
243     0.17                  4                      3          0        ?
244     0.17                  4                      4          0        ?
245     0.17                  4                      5          0        ?
246     0.17                  5                      0          0        ?
247     0.17                  5                      1          0        ?
248     0.17                  5                      2          0        ?
249     0.17                  5                      3          0        ?
250     0.17                  5                      4          0        ?
251     0.17                  5                      5          0        ?
252     0.19                  0                      0          0        ?
253     0.19                  0                      1          0        ?
254     0.19                  0                      2          0        ?
255     0.19                  0                      3          0        ?
256     0.19                  0                      4          0        ?
257     0.19                  0                      5          0        ?
258     0.19                  1                      0          9     Wait
259     0.19                  1                      1          0        ?
260     0.19                  1                      2          0        ?
261     0.19                  1                      3          0        ?
262     0.19                  1                      4          0        ?
263     0.19                  1                      5          0        ?
264     0.19                  2                      0          0        ?
265     0.19                  2                      1          0        ?
266     0.19                  2                      2          0        ?
267     0.19                  2                      3          0        ?
268     0.19                  2                      4          0        ?
269     0.19                  2                      5          0        ?
270     0.19                  3                      0          0        ?
271     0.19                  3                      1          0        ?
272     0.19                  3                      2          0        ?
273     0.19                  3                      3          0        ?
274     0.19                  3                      4          0        ?
275     0.19                  3                      5          0        ?
276     0.19                  4                      0          0        ?
277     0.19                  4                      1          0        ?
278     0.19                  4                      2          0        ?
279     0.19                  4                      3          0        ?
280     0.19                  4                      4          0        ?
281     0.19                  4                      5          0        ?
282     0.19                  5                      0          0        ?
283     0.19                  5                      1          0        ?
284     0.19                  5                      2          0        ?
285     0.19                  5                      3          0        ?
286     0.19                  5                      4          0        ?
287     0.19                  5                      5          0        ?
288     0.21                  0                      0          0        ?
289     0.21                  0                      1          0        ?
290     0.21                  0                      2          0        ?
291     0.21                  0                      3          0        ?
292     0.21                  0                      4          0        ?
293     0.21                  0                      5          0        ?
294     0.21                  1                      0          0        ?
295     0.21                  1                      1          0        ?
296     0.21                  1                      2          0        ?
297     0.21                  1                      3          0        ?
298     0.21                  1                      4          0        ?
299     0.21                  1                      5          0        ?
300     0.21                  2                      0          0        ?
301     0.21                  2                      1          0        ?
302     0.21                  2                      2          0        ?
303     0.21                  2                      3          0        ?
304     0.21                  2                      4          0        ?
305     0.21                  2                      5          0        ?
306     0.21                  3                      0          0        ?
